State,range,rate,number doctors,,number patients can treat,number died,number addicted (died * 28.5),,Ratio
AK,18.6 to 21.0,20.2,77,133.7368421,3811.5,147,4189.5,past limit,1.099173554
AL,16.1 to 18.5,18,295,512.3684211,14602.5,835,23797.5,past limit,1.629686697
AR,13.6 to 16.0,15.5,77,133.7368421,3811.5,446,12711,past limit,3.334907517
AZ,21.1 to 57.0,22.2,315,547.1052632,15592.5,"1,532",43662,past limit,2.8001924
CA,11.1 to 13.5,11.7,2022,3511.894737,100089,"4,868",138738,past limit,1.38614633
CO,16.1 to 18.5,17.6,214,371.6842105,10593,"1,015",28927.5,past limit,2.730812801
CT,21.1 to 57.0,30.9,412,715.5789474,20394,"1,072",30552,past limit,1.498087673
DC,21.1 to 57.0,44,62,107.6842105,3069,310,8835,past limit,2.878787879
DE,21.1 to 57.0,37,80,138.9473684,3960,338,9633,past limit,2.432575758
FL,21.1 to 57.0,25.1,1364,2369.052632,67518,"5,088",145008,past limit,2.147693948
GA,13.6 to 16.0,14.7,469,814.5789474,23215.5,"1,537",43804.5,past limit,1.886864379
HI,13.6 to 16.0,13.8,67,116.3684211,3316.5,203,5785.5,past limit,1.744459521
IA,11.1 to 13.5,11.5,42,72.94736842,2079,341,9718.5,past limit,4.674603175
ID,13.6 to 16.0,14.4,59,102.4736842,2920.5,236,6726,past limit,2.303030303
IL,21.1 to 57.0,21.6,482,837.1578947,23859,"2,778",79173,past limit,3.318370426
IN,21.1 to 57.0,29.4,302,524.5263158,14949,"1,852",52782,past limit,3.530804736
KS,11.1 to 13.5,11.8,93,161.5263158,4603.5,333,9490.5,past limit,2.061583578
KY,21.1 to 57.0,37.2,432,750.3157895,21384,"1,566",44631,past limit,2.087121212
LA,21.1 to 57.0,24.5,252,437.6842105,12474,"1,108",31578,past limit,2.531505532
MA,21.1 to 57.0,31.8,874,1518,43263,"2,168",61788,past limit,1.428194993
MD,21.1 to 57.0,36.3,629,1092.473684,31135.5,"2,247",64039.5,past limit,2.056800116
ME,21.1 to 57.0,34.4,171,297,8464.5,424,12084,past limit,1.427609428
MI,21.1 to 57.0,27.8,545,946.5789474,26977.5,"2,694",76779,past limit,2.846038365
MN,11.1 to 13.5,13.3,129,224.0526316,6385.5,733,20890.5,past limit,3.271552737
MO,21.1 to 57.0,23.4,194,336.9473684,9603,"1,367",38959.5,past limit,4.057013433
MS,11.1 to 13.5,12.2,129,224.0526316,6385.5,354,10089,past limit,1.579985906
MT,11.1 to 13.5,11.7,29,50.36842105,1435.5,119,3391.5,past limit,2.362591432
NC,18.6 to 21.0,24.1,488,847.5789474,24156,"2,414",68799,past limit,2.84811227
ND,6.9 to 11.0,9.2,17,29.52631579,841.5,68,1938,past limit,2.303030303
NE,6.9 to 11.0,8.1,39,67.73684211,1930.5,152,4332,past limit,2.243978244
NH,21.1 to 57.0,37,103,178.8947368,5098.5,467,13309.5,past limit,2.610473669
NJ,21.1 to 57.0,30,739,1283.526316,36580.5,"2,685",76522.5,past limit,2.091893222
NM,21.1 to 57.0,24.8,239,415.1052632,11830.5,493,14050.5,past limit,1.187650564
NV,21.1 to 57.0,21.6,172,298.7368421,8514,676,19266,past limit,2.26286117
NY,16.1 to 18.5,19.4,2047,3555.315789,101326.5,"3,921",111748.5,past limit,1.10285562
OH,21.1 to 57.0,46.3,807,1401.631579,39946.5,"5,111",145663.5,past limit,3.646464646
OK,18.6 to 21.0,20.1,125,217.1052632,6187.5,775,22087.5,past limit,3.56969697
OR,11.1 to 13.5,12.4,244,423.7894737,12078,530,15105,past limit,1.250620964
PA,21.1 to 57.0,44.3,1068,1854.947368,52866,"5,388",153558,past limit,2.904664624
RI,21.1 to 57.0,31,120,208.4210526,5940,320,9120,past limit,1.535353535
SC,18.6 to 21.0,20.5,240,416.8421053,11880,"1,008",28728,past limit,2.418181818
SD,6.9 to 11.0,8.5,15,26.05263158,742.5,73,2080.5,past limit,2.802020202
TN,21.1 to 57.0,26.6,486,844.1052632,24057,"1,776",50616,past limit,2.104002993
TX,6.9 to 11.0,10.5,813,1412.052632,40243.5,"2,989",85186.5,past limit,2.116776622
UT,21.1 to 57.0,22.3,212,368.2105263,10494,650,18525,past limit,1.765294454
VA,16.1 to 18.5,17.9,374,649.5789474,18513,"1,507",42949.5,past limit,2.319964349
VT,21.1 to 57.0,23.2,67,116.3684211,3316.5,134,3819,past limit,1.151515152
WA,13.6 to 16.0,15.2,461,800.6842105,22819.5,"1,169",33316.5,past limit,1.460001315
WI,21.1 to 57.0,21.2,225,390.7894737,11137.5,"1,177",33544.5,past limit,3.011851852
WV,21.1 to 57.0,57.8,199,345.6315789,9850.5,974,27759,past limit,2.818029542
WY,11.1 to 13.5,12.2,36,62.52631579,1782,69,1966.5,past limit,1.103535354
,,,19075,33130.26316,,69255,,,
